shop,title,price,old_price,discount,date_start,date_end,additional_info,img
iki,CLEVER plautos morkos,0.25,,SUPER KAINA,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-001.jpg
iki,Šviežiai kiaulienai,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-002.jpg
iki,Šaldyti virtiniai ar koldūnai LIŪTUKAS IR KO,,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-003.jpg
iki,BON VIA besėklės žaliosios vynuogės,1.99,,SUPER KAINA,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-004.jpg
iki,Saldžios grietinėlės sviestas ŠEIMININKĖS,1.49,2.99,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-005.jpg
iki,PANEVĖŽIO cukrus PLIUS,0.69,1.19,SUPER KAINA,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-006.jpg
iki,"Riešutams, džiovintiems vaisiams ir sėkloms",,,-25%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-007.jpg
iki,Malta kava DALLMAYR PRODOMO,6.89,10.99,SUPER KAINA,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-008.jpg
iki,Gazuotas gėrimas COCA-COLA ar COCA-COLA ZERO,,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-009.jpg
iki,BILLA šaldytoms mini picoms MARGARITA ir SALAMI,,,-40%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-010.jpg
iki,Šaldytoms picoms DR. OETKER,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-011.jpg
iki,BILLA šaldytoms bulvytėms,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-012.jpg
iki,Šaldyti žemaičių blynai LIŪTUKAS IR KO,5.69,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-013.jpg
iki,BILLA šaldytiems vištienos gaminiams,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-014.jpg
iki,"BILLA šaldytai žuvų produkcijai, jūrų gėrybėms",,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-015.jpg
iki,Šaldytos čilinės midijos be kiautų SUNRISE,1.39,2.79,-50%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-016.jpg
iki,Šaldytos baltakojės blyškiosios krevetės SUNRISE,20.99,,1+1,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-017.jpg
iki,Šaldytai produkcijai FJORD’S,,,-40%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-018.jpg
iki,Šaldytoms žuvims ir jūrų gėrybėms NOWACO,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-019.jpg
iki,"Šaldytos argentininės jūrinės lydekos FJORD’S be galvų, be uodegų",2.69,3.19,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-020.jpg
iki,BILLA šaldyti sūrio užkandžiai,3.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-021.jpg
iki,Šaldytos GERO APETITO uogos ar vaisiai,,,1+1,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-022.jpg
iki,Šaldytoms daržovėms ir jų mišiniams BONDUELLE,,,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-023.jpg
iki,Šaldyta produkcija HORTEX,,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-024.jpg
iki,Šaldytai produkcijai VIČI,,,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-025.jpg
iki,Šaldyti mini čeburekai TAUTŲ RECEPTAI,4.19,,1+1,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-026.jpg
iki,Šaldyti cepelinai ar balandėliai JUDEX,,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-027.jpg
iki,Šaldyti kruasanai LIETUVOS KEPĖJAS,3.69,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-028.jpg
iki,Šaldyta tešla MANTINGA,2.29,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-029.jpg
iki,Ledams vafliniame ragelyje BALTIJA,,,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-030.jpg
iki,Ledams vafliniame puodelyje DADU,,,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-031.jpg
iki,Ledai dėžutėje KARALIŠKI,5.99,8.79,-31%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-032.jpg
iki,Ledams ant pagaliuko POLS,,,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-033.jpg
iki,Ledai dėžutėje BEN & JERRY’S,5.25,10.49,-49%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-034.jpg
iki,Šviežioms uogoms,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-038.jpg
iki,Kriaušėms,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-039.jpg
iki,Kiviams,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-040.jpg
iki,Didieji apelsinai,1.49,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-041.jpg
iki,Sveriami mandarinai,1.49,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-042.jpg
iki,Greipfrutams,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-043.jpg
iki,Besėklės raudonosios vynuogės,2.49,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-044.jpg
iki,Sveriami abrikosai,3.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-045.jpg
iki,Pasiflora,0.59,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-046.jpg
iki,Kinkanai,1.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-047.jpg
