shop,title,price,old_price,discount,date_start,date_end,additional_info,img
lidl,"Sviestas, 82 % 200 g | 1 kg = 5,95 €",1.19,,SUPERKAINA!,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/6y6MtDYyrYE6-bHwYlRZzFuxReWnG77DtjIKvRtfTOw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9BNzQwN0Y1NTAxNEMwQURBQTFGMjZBQkM/2QkVBMzA3MjNEN0IzODQ3RTA4QzJCMDJCNTA1NTBGQkExRUMxQzY0LnBuZw.png
lidl,"Tualetinis popierius „XXL“ 32 rit. / 1 rit. = 0,18 €",5.59,,SUPERKAINA!,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/uwn9LIAC8LWd34y3evGf7sJDtJt0CufuEhpRAlp_IDA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zQkFBOUZCODlGNkIzRUQ2NjBBMkJGQzU/zMDJDOEM4NjY0REUwOTREOERDOTc1NEEzQzRFQzgwN0RFOTQ2NERELnBuZw.png
lidl,"Lietuviški virti raudonieji burokėkliai 500 g | 1 kg = 1,18 €",0.59,0.79 ,-25%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/2CrBEKv64HIKOQKnESxb4fbYxGGgg4X_4gFMaBYpfOs/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zNkQwNjhCRUFFMUI1NjE4Mzk1QjkzRkR/DNUNENUE4MkNFMTZGMzBDRURBQUMwNzVEMzlEQThEMDc2NzI3MUUyLnBuZw.png
lidl,Fasuoti lietuviški obuoliai 1 kg,1.49,2.29 ,-34%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/DNXmto_caeAZithLQ_vrXBQGQF2LiqJCeTX0SJ-f-QE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS82MTUzNkYxNkQ5RDdGNTVFMzYyMUUxMTk/1ODUwNDdDNDI1M0M3RTFFRDAwRjI4RUU0QkUxMDBGQjZDN0Q2NkZBLnBuZw.png
lidl,Kriaušės 1 kg,1.49,2.19 ,-31%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/I65QiwZ0DucIg14MmkKX_qG2EH3QCGPcMWbXoq2c3YM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9CNkU1NzJCNEQ0QzlFQjdCMjIwOUU0MjA/4QzE3RjA5Rjg0MTM0OTE0MzQ2QkJCNjM4NEM4RTVEQjY0RTZGRDZGLnBuZw.png
lidl,Apelsinai 1 kg,1.19,1.99 ,-40%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/UgUkrgizmC6Y52vqpr5J6-nKLueho41zWICXe4E1iP4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0E1QjdCQjUxOEJBMkI4Mzc2RDc2QTBFOE/E1RTdBMEUzRUUxNTk0NUUyNTIxNzI0RDA3RDdBMDMyQzg5Q0U2NDQucG5n.png
lidl,Žaliosios besėklės vynuogės 1 kg,3.59,4.99 ,-28%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/JsaLWzwfb5q6QIyTCSVwXq-oGT1LXYjEWp7LgOK95Jw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzgzQUQ4RkQzOEEzMjNCMjc5NjkyNDdFN0/JDRjI5NzNEOUQ4MUU0OTcyOEIxQTM4QjYwQTg5RDI1QTNCM0Y2MTEucG5n.png
lidl,"Salotų mišinys 125 g | 1 kg = 9,52 €",1.19,1.59 ,-25%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/5qWRg1qVqWN7upa8ABlaVhIa4h7t49QXsU1nZSqtPEE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzlENTQwMTA3MzhFREE0Qzg0QTQ0NjNBRU/NCMUJFRjk1MTY3M0NBMEQ4QTQ5N0IzQzNCQTYzNjk5MTAwRUI3NEYucG5n.png
lidl,Nokintas avokadas „Hass“ 1 vnt.,0.99,1.99 ,-50%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/hDnHqwt4hLXOeHBLl4KEn475UwQfl7EJAAVSoa2cUo8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50Lzg5MjhGREI0NjZGMjBGMzY4ODExRDMxM0/I2Njk3RERCQjM3QTk4QkMzMDE2M0U4NjNFMjIxRUVBMThCNEIzMzEucG5n.png
lidl,Ananasai 1 kg,1.49,2.49 ,su Lidl Plus-40%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/Rmd5X7w4N3056gJs3Z3NznrYhorKqzCTaOVWv2uuNr8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS83OEZDN0RDNUUzNjIyQTRERDkwNjY2NDQ/5NDE4MjJGOURFNUVCMTE1MzFEREY4RjM0NzM4NzE1RUY1NzVGRUUwLnBuZw.png
lidl,Geltonieji melionai 1 kg,1.39,2.49 ,su Lidl Plus-44%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/sWIxyMMeeIJ1zHS8sJE6n2078ZOiUVjhkmAGUbZIpm4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0JBQzJFQTE2QzJCMTczN0ExMDc3N0E0Rj/kyNzAxRTQ2MThGOUMzMjU2Q0VCMDNFQTlBODYyQ0UwQkMzNjEyMDgucG5n.png
lidl,"Kruasaninė spurga 83 g | 1 kg = 10,24 €",0.85,,SUPERKAINA!,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/xfD4255dvD7w6vcwZSBXowZVgvlNwdLV1bhGv7tVyUo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzU2RjdCNkJGMzExMTk2RkRGMkE1NzQxQT/dBQzQ4NUZCQjBCRkJCNTE5OENBQzEwQkU4MUQ1MTQxNUYxRTY2NDMucG5n.png
lidl,"Raikytas pieniškas batonas 330 g | 1 kg = 1,67 €",0.55,0.69 ,-20%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/63_Im5hfi2S5CVmCLQvb4pLbxOwGYzEd2oTgTHqAKhk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zQ0VBNzQ4RjZCNDI2RkJEQTE1RUJEMzk/2NzIwOUI2RUVFQ0NCNDc4RUI1QjY2QTUwM0FCMzhGRjJCOUMyODE4LnBuZw.png
lidl,"Raikyta juoda duona 800 g | 1 kg = 1,39 €",1.11,1.39 ,-20%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/1aiuq3hpm7bg0yaSDAy-SOu5GX-iRA2QshIf_zYnVXo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS81RkZBNjU3MzQ4NUQ3NzEwQTNENzFBNDl/GOUMyRTBBNTAwRDU5OEVDQTFBNkJGRERFREFGQkEyM0ZGRTJBMkU1LnBuZw.png
lidl,"Prancūziško stiliaus skanėstai Kanelės 6 x 40 g | 1 kg = 11,50 €",2.76,4.14 ,4+2,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/0JXMfPFbQ5Skx2adRsIh7fceC07Tq0t4nDiYOH9Ld-0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS82NUU5OEIwRkNGOTQ2QjgzQTU1NjlFREI/1MUZCRDAxOTFGODhBNUFFQjUxOURCMDdCNzlFQzRBQTgwMDRDRTc0LnBuZw.png
lidl,"Spurga su pistacijų įdaru 3 x 90 g | 1 kg = 9,56 €",2.58,3.87 ,2+1,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/x26r84FpO1nPP3MHDIbuK5rpwPGs4aJozJAP228ub3g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9ERkFBQ0I4N0E4MEIzNjgyQTIzQ0IyNzI/wMUI1RjM4MzAxM0FGQjdBRkFFNkRGMTJCMDY1NDJDRTVDMjgwNThBLnBuZw.png
lidl,"Bandelė su varške ir rikotos sūriu 4 x 90 g | 1 kg = 4,08 €",1.47,1.96 ,3+1,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/aDHSUP8P9VedESbFn-usdHBtAD6FJVcFVafn9yPKXoM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8xOTJFM0U1NTYyNTA5NDQ1QjAxNTdERTI/wREI2Q0U4OUJGMzlCMDRBQkIyNTRENDU0OUM3NjlCNUVCOEQ0QTQyLnBuZw.png
