shop,title,price,old_price,discount,date_start,date_end,additional_info,img
maxima,"Slyviniai pomidorai, 1 kg",2.29,3.49,-34%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75f02352e.png
maxima,"Avokadas HASS, 1 vnt.",0.65,0.99,-34%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75f04927a.png
maxima,"Dideli apelsinai, 1 kg",1.49,2.29,-34%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75efe8ef1.png
maxima,"Raudonieji ridikėliai ryšulėlyje, fasuoti, 1 vnt.",0.79,0.99,-20%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75efc1764.png
maxima,"Brokolis, 1 vnt.",1.39,1.99,-30%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75f06f178.png
maxima,"Šilauogės, fasuotos, 500 g",4.99,7.99,-37%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e808815.png
maxima,"Žaliosios besėklės vynuogės, 1 kg",3.79,4.99,-24%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e82a46a.png
maxima,"Raudonosios besėklės vynuogės, fasuotos, 500 g",2.39,3.49,-31%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e79c882.png
maxima,"Mandarinai, 1 kg",1.69,2.49,-32%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e7dd685.png
maxima,"Didieji greipfrutai POMELO, 1 kg",0.59,1.19,-50%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e86daf3.png
maxima,"Didžiosios kriaušės CONFERENCE, 1 kg",1.59,2.49,-36%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e77b254.png
maxima,"Obuoliai CHAMPION, fasuoti, 1 kg",0.79,1.49,-46%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75e736d49.png
maxima,"Smulkiavaisiai pomidorai SUNSTREAM WELL DONE, fasuoti, 300 g",2.45,3.19,-23%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75eb73ddb.png
