shop,title,price,old_price,discount,date_start,date_end,additional_info,img
rimi,"Citrinos MEYE, 1kl, C2-3, 1 kg",1.89,2.69,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_969226_KGM_LT"
rimi,"Brokolis RIMI, 350 g",1.11,1.89,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_978280_PCE_LT"
rimi,"Dideli apelsinai Navel RIMI, kg",1.59,2.29,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_298039_KGM_LT"
rimi,"Didelis avokadas SELECTION BY RIMI, 1 vnt",1.19,2.49,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_905518_PCE_LT"
rimi,"Valgomieji batatai, 1 kg",1.49,2.85,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_286441_KGM_LT"
rimi,"Skrudinimo duona TOSTE, 500g",1.43,1.79,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_150511_PCE_LT"
rimi,"Gr. nat. jogurtas GRAIKIŠKA AMFORA, 3,9%,370g",1.67,2.09,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_927768_PCE_LT"
rimi,"Kokteiliniai pomidorai su šakel., 1 kl. 500 g",1.99,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_277348_PCE_LT"
rimi,"Obuoliai Royal Gala, 1 kl., 1 kg",1.79,2.69,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_269153_KGM_LT"
rimi,"Salierų stiebai RIMI, 450 g",0.99,1.49,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297913_PCE_LT"
rimi,"ŽEMAITIJOS sviestas, 82 % rieb., 200 g",1.49,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_149795_PCE_LT"
rimi,"DVARO grietinė, 30 % rieb., 380 g",1.89,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_276565_PCE_LT"
rimi,"Kvietinės tortilijos RIMI PLANET, 370 g",1.19,1.49,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808707_PCE_LT"
rimi,"Lapinės salotos LOLLO BIONDA, 1 vnt",0.99,1.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_272541_PCE_LT"
rimi,"Rauginti kopūstai su spanguolėmis, 800 g",1.74,2.49,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_274854_PCE_LT"
